Variant;Variant ID;Language;Feature name;Feature group;Position
"Android 2.1";"84";"ru";"Operating System";"Electronics";"0"
"Android 2.2, Froyo";"55";"ru";"Operating System";"Electronics";"0"
"Android 2.3, Gingerbread";"66";"ru";"Operating System";"Electronics";"0"
"Android 3.1, Honeycomb";"52";"ru";"Operating System";"Electronics";"0"
"Android 3.2, Honeycomb";"58";"ru";"Operating System";"Electronics";"0"
"Android 4.0, Ice Cream Sandwich";"73";"ru";"Operating System";"Electronics";"0"
"iOS 5";"39";"ru";"Operating System";"Electronics";"40"
"Nokia OS";"76";"ru";"Operating System";"Electronics";"0"
"Symbian OS";"78";"ru";"Operating System";"Electronics";"0"
"Windows 7 Home Basic";"49";"ru";"Operating System";"Electronics";"0"
"Windows 7 Home Premium";"46";"ru";"Operating System";"Electronics";"0"
"Windows Phone 7.5, Mango";"69";"ru";"Operating System";"Electronics";"0"
"13.3""";"63";"ru";"Display";"Electronics";"0"
"14.0""";"61";"ru";"Display";"Electronics";"0"
"15.6""";"59";"ru";"Display";"Electronics";"0"
"2.4""";"77";"ru";"Display";"Electronics";"0"
"23""";"51";"ru";"Display";"Electronics";"0"
"27""";"41";"ru";"Display";"Electronics";"0"
"3.1""";"83";"ru";"Display";"Electronics";"0"
"3.2""";"80";"ru";"Display";"Electronics";"0"
"3.5""";"65";"ru";"Display";"Electronics";"0"
"3.7""";"71";"ru";"Display";"Electronics";"0"
"4.0""";"67";"ru";"Display";"Electronics";"0"
"4.3""";"68";"ru";"Display";"Electronics";"0"
"4.5""";"74";"ru";"Display";"Electronics";"0"
"4.7""";"70";"ru";"Display";"Electronics";"0"
"7.0""";"56";"ru";"Display";"Electronics";"0"
"8.9""";"53";"ru";"Display";"Electronics";"0"
"9.7""";"44";"ru";"Display";"Electronics";"0"
"16GB";"45";"ru";"Storage Capacity";"Electronics";"0"
"1TB";"47";"ru";"Storage Capacity";"Electronics";"0"
"256GB";"64";"ru";"Storage Capacity";"Electronics";"0"
"256MB";"79";"ru";"Storage Capacity";"Electronics";"0"
"2GB";"81";"ru";"Storage Capacity";"Electronics";"0"
"320GB";"50";"ru";"Storage Capacity";"Electronics";"0"
"32GB";"54";"ru";"Storage Capacity";"Electronics";"0"
"4GB";"75";"ru";"Storage Capacity";"Electronics";"0"
"500GB";"48";"ru";"Storage Capacity";"Electronics";"0"
"512MB";"82";"ru";"Storage Capacity";"Electronics";"0"
"640GB";"60";"ru";"Storage Capacity";"Electronics";"0"
"750GB";"62";"ru";"Storage Capacity";"Electronics";"0"
"8GB";"72";"ru";"Storage Capacity";"Electronics";"0"
"Abbey Road Studios";"116";"ru";"Brand";"";"0"
"Acer";"92";"ru";"Brand";"";"0"
"Adidas";"86";"ru";"Brand";"";"0"
"Aiko";"129";"ru";"Brand";"";"0"
"Apple";"91";"ru";"Brand";"";"0"
"Arc System Works";"120";"ru";"Brand";"";"0"
"ASUS";"88";"ru";"Brand";"";"0"
"Camelback";"131";"ru";"Brand";"";"0"
"Capcom";"124";"ru";"Brand";"";"0"
"Casio";"125";"ru";"Brand";"";"0"
"Cleveland";"130";"ru";"Brand";"";"0"
"Cobra";"104";"ru";"Brand";"";"0"
"Concord Records";"96";"ru";"Brand";"";"0"
"Creative";"111";"ru";"Brand";"";"0"
"D-Link";"95";"ru";"Brand";"";"0"
"Entertainment One Ltd";"113";"ru";"Brand";"";"0"
"Garmin";"102";"ru";"Brand";"";"0"
"GoPro";"135";"ru";"Brand";"";"0"
"Hewlett-Packard";"93";"ru";"Brand";"";"0"
"HTC";"108";"ru";"Brand";"";"0"
"Intel";"99";"ru";"Brand";"";"0"
"Kenwood";"103";"ru";"Brand";"";"0"
"Koss";"115";"ru";"Brand";"";"0"
"LG";"94";"ru";"Brand";"";"0"
"Montblanc";"133";"ru";"Brand";"";"0"
"Motorola";"109";"ru";"Brand";"";"0"
"Namco";"122";"ru";"Brand";"";"0"
"Namco Bandai Games";"123";"ru";"Brand";"";"0"
"Nike";"87";"ru";"Brand";"";"0"
"Nikon";"117";"ru";"Brand";"";"0"
"Nokia";"110";"ru";"Brand";"";"0"
"Panasonic";"98";"ru";"Brand";"";"0"
"Pioneer";"100";"ru";"Brand";"";"0"
"Quartet Manufacturing";"126";"ru";"Brand";"";"0"
"Rhino";"107";"ru";"Brand";"";"0"
"Roadrunner Records";"105";"ru";"Brand";"";"0"
"Samsung";"89";"ru";"Brand";"";"0"
"SanDisk";"121";"ru";"Brand";"";"0"
"Sony";"114";"ru";"Brand";"";"0"
"Swingline ";"127";"ru";"Brand";"";"0"
"Tissot";"134";"ru";"Brand";"";"0"
"TomTom";"101";"ru";"Brand";"";"0"
"Toshiba";"106";"ru";"Brand";"";"0"
"TP-Link";"97";"ru";"Brand";"";"0"
"Universal Music Group";"90";"ru";"Brand";"";"0"
"Warner Bros.";"118";"ru";"Brand";"";"0"
"Warner Home Video ";"119";"ru";"Brand";"";"0"
"Wilson Jones";"128";"ru";"Brand";"";"0"
"Wilson Staff";"132";"ru";"Brand";"";"0"
"Yamaha";"112";"ru";"Brand";"";"0"
"Фармстандарт";"136";"ru";"Brand";"";"0"
